titulo,autor,variante_titulo,extension,distribuidor,materias,nota,detalles
El Pelayo,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
El Pino,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
"El Vendrell : plànol del municipi : Coma-ruga, Sant Salvador, el Francàs",SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,Incluye información comercial con su localización en el plano,col.
Elda,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Elizondo,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Erriberabetiko toponimoen mapa = Mapa toponímico de Ribera Baja,Geograma,Mapa toponímico de Ribera Baja,1 mapa,Bilboko Udala,Nombres geográficos -- Mapas,"Inserta: Nomenclátor toponímico; ampliación de los núcleos urbanos de Melledes, Igai, Quintanilla de La Ribera y Ribaguda, con localización de lugares de interés",col.
Erronkari ibarra,"Cobo, Ana",,1 mapa,Oficina de Turismo de Roncal,,Inserta: Pequeño mapa de localización del valle de Roncal en Navarra; fotografías,col.
"Eskuernaga, Villabuena",Villabuena de Álava,,1 ortofoto,Eskuernako Udala = Ayuntamiento de Villabuena,Excursionismo -- Mapas,"Incluye perfiles de las rutas recomendadas y mapa ampliado del núcleo urbano de Villabuena con localización de las rutas recomendadas y de los equipamientos, servicios, museos, empresas de alojamiento, restauración y bodegas",col.
"Eskuernaga, Villabuena",Villabuena de Álava,,1 ortofoto,Eskuernako Udala = Ayuntamiento de Villabuena,Excursionismo -- Mapas,"Incluye perfiles de las rutas recomendadas y mapa ampliado del núcleo urbano de Villabuena con localización de las rutas recomendadas y de los equipamientos, servicios, museos, empresas de alojamiento, restauración y bodegas",col.
"Eskuernaga, Villabuena",Villabuena de Álava,,1 ortofoto,Eskuernako Udala = Ayuntamiento de Villabuena,Excursionismo -- Mapas,"Incluye perfiles de las rutas recomendadas y mapa ampliado del núcleo urbano de Villabuena con localización de las rutas recomendadas y de los equipamientos, servicios, museos, empresas de alojamiento, restauración y bodegas",col.
Espai Natural de les Guilleries-Savassona,Xarxa de Parcs Naturals (Barcelona),,1 mapa,"Diputació de Barcelona, Gerència de Serveis d'Espais Naturals",Excursionismo -- Mapas,Incluye itinerarios recomendados señalados en el mapa y su nivel de dificultad,col.
Espanya : autonomies,Landamaps,,1 mapa,Landamaps,,,col.
España : carta de áreas terminales,España,,8 cartas aéreas en 1 h.,"Ministerio de Defensa, Secretaría General Técnica",,Incluye códigos de radar para situaciones anormales,"ambas caras, col."
España : carta de áreas terminales,España,,8 cartas aéreas en 1 h.,"Ministerio de Defensa, Secretaría General Técnica",,Incluye códigos de radar para situaciones anormales,"ambas caras, col."
España : carta de áreas terminales,España,,8 cartas aéreas en 1 h.,"Ministerio de Defensa, Secretaría General Técnica",,Incluye observaciones y códigos de radar para situaciones anormales,"ambas caras, col."
España : carta de áreas terminales,España,,8 cartas aéreas en 1 h.,"Ministerio de Defensa, Secretaría General Técnica",,Incluye observaciones y códigos de radar para situaciones anormales,"ambas caras, col."
España : carta de navegación visual,España,,1 carta aérea en 2 h.,"Ministerio de Defensa, Secretaría General Técnica",,Al verso: Restricciones al espacio aéreo; comunicaciones; códigos de radar para situaciones anormales,col.
España : carta instrumental del espacio aéreo inferior,España,,1 carta aérea,"Ministerio de Defensa, Secretaría General Técnica",,"Al verso: Carta aérea de Canarias, Madeira y noroeste de África; relación de las líneas de comunicaciones y de restricciones del espacio aéreo",col.
España : carta instrumental del espacio aéreo inferior,España,,1 carta aérea,"Ministerio de Defensa, Secretaría General Técnica",,"Al verso: Carta aérea de Canarias, Madeira y noroeste de África; relación de las líneas de comunicaciones y de restricciones del espacio aéreo",col.
España : carta instrumental del espacio aéreo inferior,España,,1 carta aérea,"Ministerio de Defensa, Secretaría General Técnica",,"Al verso: Carta aérea de Canarias, Madeira y noroeste de África; relación de las líneas de comunicaciones, de restricciones del espacio aéreo y códigos de radar para situaciones anormales",col.
España : carta instrumental del espacio aéreo inferior,España,,1 carta aérea,"Ministerio de Defensa, Secretaría General Técnica",,"Al verso: Carta aérea de Canarias, Madeira y noroeste de África; relación de las líneas de comunicaciones, de restricciones del espacio aéreo y códigos de radar para situaciones anormales",col.
España : carta instrumental del espacio aéreo superior,España,,1 carta aérea,"Ministerio de Defensa, Secretaría General Técnica",,"Al verso: Carta aérea de Canarias, Madeira y noroeste de África; relación de las líneas de comunicaciones y de restricciones del espacio aéreo",col.
España : carta instrumental del espacio aéreo superior,España,,1 carta aérea,"Ministerio de Defensa, Secretaría General Técnica",,"Al verso: Carta aérea de Canarias, Madeira y noroeste de África; relación de las líneas de comunicaciones y de restricciones del espacio aéreo",col.
España : carta instrumental del espacio aéreo superior,España,,1 carta aérea,"Ministerio de Defensa, Secretaría General Técnica",,"Al verso: Carta aérea de Canarias, Madeira y noroeste de África; relación de las líneas de comunicaciones, de restricciones del espacio aéreo y códigos de radar para situaciones anormales",col.
España Norte,Anaya Touring,,1 mapa,Anaya Touring,Carreteras -- Mapas,Incluye pequeño mapa de localización en la Península,"ambas caras, col."
"España Norte : Galicia, Asturias, Cantabria, País Vasco, Navarra, La Rioja y Castilla y León",Anaya Touring,,1 mapa,Anaya Touring,Carreteras -- Mapas,,"ambas caras, col."
España política,Editorial Teide,,1 mapa,Editorial Teide,,,col.
"España, Portugal : mapa",Técnica Cartográfica,,1 mapa,Editorial Arguval,Carreteras -- Mapas -- Carreteras -- Mapas,Al verso: Índice de poblaciones,col.
España y Portugal,"Nin i Català, Jose",,1 mapa,Telstar Distrimapas,Carreteras -- Mapas -- Carreteras -- Mapas,"Inserta: Pequeño mapa de localización de España, Portugal y sus islas",col.
España y Portugal,"Nin i Català, Jose",,1 mapa,Telstar Distrimapas,Carreteras -- Mapas -- Carreteras -- Mapas,"Inserta: Pequeño mapa de localización de España, Portugal y sus islas",col.
Espinilla,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Esporles,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Estella - Lizarra,Consorcio Turístico de Tierra Estella,,1 plano,Consorcio Turístico de Tierra Estella,,Inserta: Servicios y equipamientos localizados en el plano,col.
Estella - Lizarra,"Cobo, Ana",,1 plano,Oficina de Turismo de Estella,,"Inserta: Información de restaurantes, alojamientos y servicios públicos",col.
Estella - Lizarra,"Cobo, Ana",,1 plano,Office du Tourisme de Lekunberri,,"Inserta: Información de restaurantes, alojamientos y servicios públicos",col.
Estella-Lizarra,"Cobo, Ana",,1 plano,Estella Tourist Office,,"Inserta: Información de restaurantes, alojamientos y servicios públicos",col.
Estepona,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Europa física,Instituto Cartográfico Latino,,1 mapa,Vicens Vives,,Al verso: Europa política,col.
Euskal Autonomía Erkidegoko mapa hidrologikoa,Geograma,Mapa hidrológico de la Comunidad Autónoma del País Vasco,46 p.,Agencia Vasca del Agua,Hidrología -- Mapas,,col.
Euskararen herri hizkeren atlasa mapak 1809-2059,Real Academia de la Lengua Vasca,,756 p.,Euskaltzaindia = Real Academia de la Lengua Vasca = Académie de la Langue Basque,Lengua vasca -- Mapas,,"principalmente mapas, col."
"Experience Pontevedra on foot : the best way to discover me : experience Pontevedra, experience the Rías Baixas",Turismo Rías Baixas,,1 plano,Turismo Rías Baixas,,Incluye relación de alojamientos turísticos con su localización en el plano,col.
"Experience the Rías Baixas : because the best emotions cannot be planned, they are felt",Turismo Rías Baixas,,1 mapa,Turismo Rías Baixas,Carreteras -- Mapas,,col.
"Experience Vigo on foot : the best way to discover me : experience Vigo, experience the Rías Baixas",Turismo de Vigo,,1 plano,Turismo de Vigo,,Inserta: Relación de alojamientos turísticos con su localización en el plano,col.
Explore San Sebastian region,Guipúzcoa,,1 mapa,"Guipuzkoako Foru Aldundia, Kultura, Turismo, Gazteria eta Kiroletako Departamentua",,Inserta: Oficinas de turismo de Guipúzcoa; vías ciclistas interurbanas y vías verdes con su localización en el mapa; fotografías,col.
Explore San Sebastian region,Guipúzcoa,,1 mapa,"Guipuzkoako Foru Aldundia, Kultura, Turismo, Gazteria eta Kiroletako Departamentua",,Inserta: Oficinas de turismo de Guipúzcoa; vías ciclistas interurbanas y vías verdes con su localización en el mapa; fotografías,col.
Explore San Sebastian region,Guipúzcoa,,1 mapa,"Guipuzkoako Foru Aldundia, Kultura, Turismo, Gazteria eta Kiroletako Departamentua",,Inserta: Oficinas de turismo de Guipúzcoa; vías ciclistas interurbanas y vías verdes con su localización en el mapa; fotografías,col.
Explore San Sebastian region,Guipúzcoa,,1 mapa,"Guipuzkoako Foru Aldundia, Kultura, Turismo, Gazteria eta Kiroletako Departamentua",,Inserta: Oficinas de turismo de Guipúzcoa; vías ciclistas interurbanas y vías verdes con su localización en el mapa; fotografías,col.
Ezcaray,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Ferrol,Turismo de Galicia,,1 plano,Turismo de Galicia,,"Al verso: Información y localización en el plano de monumentos, edificios y lugares de interés turístico",col.
Figueruela de Arriba (Zamora) : Sierra de la Culebra : rutas de senderismo,,,1 mapa,[s.n.],Senderismo -- Mapas,Incluye rutas señaladas en el mapa y reglas del camino,col.
Fonz,Instituto Geológico y Minero de España,,2 h.,I.G.M.E.,Geología -- Mapas -- Geomorfología -- Mapas,,col.
Fôret d'Iraty,"Angulo, Miguel",,1 mapa,Sua Edizioak,Excursionismo -- Mapas,,col.
Foruko toponimoen mapa,Forua,,1 mapa,Foruko Udala,Nombres geográficos -- Mapas,Inserta: Índice de nombres geográficos con su localización en el mapa,col.
Frontón de Albelda,"Mediavilla, José María",,1 mapa,CRON,Orientación (Deporte) -- Mapas,,col.
Fuerteventura,Ediciones A.M.,,1 mapa,Ediciones A. M.,,Inserta: Mapa de localización de Fuerteventura en las Islas Canarias; espacios naturales protegidos,col.
Fuerteventura,Ediciones A.M.,,1 mapa,Ediciones A. M.,,Inserta: Mapa de localización de Fuerteventura en las Islas Canarias; espacios naturales protegidos,col.
Galicia,Anaya Touring,,1 mapa,Anaya Touring,Carreteras -- Mapas,Incluye pequeño mapa de localización en la Península,col.
Galicia,Publicaciones Cartográficas,,1 mapa,Xunta de Galicia,Enoturismo -- Mapas -- Vinos -- Mapas,"Al verso: Rutas recomendadas por denominación de origen a las bodegas, restaurantes y alojamientos participantes y datos de contacto",col.
Galicia,Publicaciones Cartográficas,,1 mapa,"Xunta de Galicia, Axencia de Turismo de Galicia",Carreteras -- Mapas,Al verso: Mapa de geodestinos; mapa de espacios naturales protegidos; mapa de denominaciones de origen vitivinícolas; mapa de los caminos de Santiago; pequeño mapa de localización de Galicia en Europa; tabla de distancias kilométricas; fiestas de interés turístico; fotografías,col.
Garcihernández,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
El Garraf,"Geotec, Estudis i Projectes",,1 mapa,Diputació [de] Barcelona,,"Inserta: Pequeños mapas de localización en la provincia de Barcelona, en Cataluña y en Europa",col.
Les Garrigues : mapa turístic,Garrigues,,1 mapa,"Consell Comarcal de Les Garrigues, Oficina de Turisme",,"Incluye relación de los municipios que forman parte de la comarca de Garrigues, mapa de localización en Lérida, Cataluña y Europa y fotografías",col.
Garrucha,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Gata,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Geopark : Basque Coast = Géoparc : de la Còte Basque,País Vasco,Géoparc,1 mapa,"Basque Government, Ministry of Tourism, Trade and Consumer Affairs = Gouvernement Basque, Ministère du Tourisme, du Commerce et de la Consommation",Excursionismo -- Mapas -- Excursionismo -- Mapas,Inserta: Rutas recomendadas; zonas de interés general con su localización en el mapa,col.
Geoparkea : euskal kostaldea = costa vasca,País Vasco,,1 mapa,"Eusko Jaurlaritza, Turismo, Merkataritza eta Konsumo Saila = Gobierno Vasco, Departamento de Turismo, Comercio y Consumo",Excursionismo -- Mapas -- Excursionismo -- Mapas,Inserta: Rutas recomendadas; zonas de interés general con su localización en el mapa,col.
Getafe,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Getxo,Getxo,,1 plano,Getxo Turismoa,,Incluye fotografías de lugares de interés y actividades con su localización en el plano y fotografías,col.
Getxo,Getxo,,1 plano,Oficina de Turismo de Getxo,,Incluye fotografías de lugares de interés y actividades con su localización en el plano y fotografías,col.
Getxo,Getxo,,1 plano,Getxo Tourist Information Office,,Incluye fotografías de lugares de interés y actividades con su localización en el plano y fotografías,col.
Getxo,Getxo,,1 plano,Office de Tourisme de Getxo,,Incluye fotografías de lugares de interés y actividades con su localización en el plano y fotografías,col.
Getxo,Getxo,,1 plano,Fremdenverkehrsbüro Getxo,,Incluye fotografías de lugares de interés y actividades con su localización en el plano y fotografías,col.
Getxo,Getxo,,1 plano,Oficina de Turisme de Getxo,,Incluye fotografías de lugares de interés y actividades con su localización en el plano y fotografías,col.
Getxo,Getxo,,1 plano,Oficina de Turismo de Getxo,,Inserta: Callejero; mapa de accesos a Getxo; esquema del metro de Bilbao,col.
Getxo,Getxo,,1 plano,Getxoko Turismo Bulegoa,,Inserta: Callejero; mapa de accesos a Getxo; esquema del metro de Bilbao,col.
Getxo,Getxo,,1 plano,Getxo Tourism Information Office,,Inserta: Callejero; mapa de accesos a Getxo; esquema del metro de Bilbao,col.
Getxo,Getxo,,1 plano,Office de Tourisme de Getxo,,Inserta: Callejero; mapa de accesos a Getxo; esquema del metro de Bilbao,col.
Getxo,Getxo,,1 plano,Fremdenverkehrsbüro Getxo,,Inserta: Callejero; mapa de accesos a Getxo; esquema del metro de Bilbao,col.
Getxo,Getxo,,1 plano,Oficina de Turisme de Getxo,,Inserta: Callejero; mapa de accesos a Getxo; esquema del metro de Bilbao,col.
Gijón,Locis Sigtech,,1 plano,Gijón Calidad Turística,,Inserta: Ampliación del centro histórico,col.
Gijón - Xixón,Gijón,,1 mapa,"[Ayuntamiento de Gijón], Oficina de Normalización Lingüística",Nombres geográficos -- Mapas,Incluye información acerca de la iniciativa de normalización lingüística de los topónimos del Principado de Asturias,col.
Gijón = Xixón,InterMapa,Xixón,1 plano,Sociedad Pública de Gestión y Promoción Turística del Principado de Asturias,,"Inserta: Pequeño mapa de localización del área representada y accesos por carretera, con localización del Museo del Pueblo de Asturias, el Jardín Botánico y la Laboral Ciudad de la Cultura",col.
Girona,Gerona,,1 plano,Ajuntament de Girona,,Inserta: Mapa de accesos por carretera,col.
Girona,Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Geología -- Mapas,Incluye mapa de agrupaciones litológicas y elementos estructurales. - 1:50.000,col.
Girona : La ciutat històrica,Gerona,,1 plano,Ajuntament de Girona,,Inserta: Equipamientos y servicios; clave de color de los itinerarios y lugares de interés según nivel de accesibilidad,col.
Girona : La ciutat històrica,Gerona,,1 plano,Ajuntament de Girona,,Incluye información de oficinas de turismo y de información turística y teléfonos de interés,col.
Girona : pocket map,"Esteve, Joan",,1 plano,Triangle Postals,,"Al verso: Ampliación del centro urbano, a escala 1:6.000; fotografías de visitas recomendadas con su localización en el plano",col.
Girona temps de flors : del 13 al 21 de maig de 2017,Gerona,,1 plano,"Ajuntament de Girona, Oficina de Turisme",,Inserta: Barrio de Santa Eugènia,col.
Golfo de León : de Punta del Llobregat a Cabo d'Antibes,Instituto Hidrográfico de la Marina (España),,1 carta náutica,"Ministerio de Defensa, Secretaría General Técnica",,,col.
La Gomera,Publicaciones Turquesa,,1 mapa,Publicaciones Turquesa,Senderismo -- Mapas -- Carreteras -- Mapas,Inserta: Información de senderos con su localización en el mapa; San Sebastián de La Gomera. - 16 x 18 cm; mapa de comunicaciones de las Islas Canarias; mapa de municipios de las Islas Canarias; relación de lugares de interés; mapa de localización de espacios naturales protegidos; fotografías,col.
La Gomera : reserva de la biosfera = biosphärenreservat = biosphère reserve,Publicaciones Turquesa,,1 mapa,Publicaciones Turquesa,Senderismo -- Mapas,Inserta: Mapa de espacios naturales protegidos de La Gomera; plano de San Sebastián de La Gomera; centros y lugares de interés; mapa de localización en Islas Canarias; mapa de municipios de La Gomera; fotografías,col.
Grado = Grau,Grado,Grau,1 plano,"Ayuntamiento, Grado Turismo",,Inserta: Relación de edificios de interés con su localización en el plano,col.
Gran atles topogràfic de Catalunya 1:25.000,Instituto Cartográfico y Geológico de Cataluña,,1 atlas (1077 p.),"Generalitat de Catalunya, Departament de Territori i Sostenibilitat",,Incluye mapa clave de las hojas,"principalmente mapas, col."
Gran Canaria,Publicaciones Turquesa,,1 mapa,Turquesa Publicaciones,Senderismo -- Mapas -- Carreteras -- Mapas,"Inserta: Las Palmas de Gran Canaria. - 39 x 19 cm - [ca. 1:13.300]; Maspalomas, Playa del Inglés, San Agustín. - 11 x 23 cm; mapa de comunicaciones de las Islas Canarias",col.
Granada,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a la ciudad,col.
Granada,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a la ciudad,col.
Granada,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a la ciudad,col.
Granada,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y el Deporte de Andalucía,,Inserta: Mapa de accesos a la ciudad,col.
Granada,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Incluye relación de monumentos y lugares de interés con su localización en el plano y fotografías,col.
Granada,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a la ciudad,col.
Granada : ciclismo de carretera = road cycling,Nubia Consultores,,1 mapa,Patronato Provincial de Turismo de Granada,Cicloturismo -- Mapas,Inserta: Localización y fotografías de las rutas localizadas en el mapa,col.
Granada monumental,Mapa Cultural Ediciones,,1 plano,Mapa Cultural Ediciones,Arquitectura -- Planos,Inserta: Mapa de accesos a Granada,col.
Granollers,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,"Inserta: Índice de calles; plano de situación de Granollers en el Vallès Oriental; información comercial, que continúa al verso, con su localización en el plano",col.
Grañén,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Guardiola de Berguedà,SR Mapes,,1 plano,SR Mapes,,Inserta: Relación de equipamientos y servicios con su localización en el plano; mapa de accesos por carretera,col.
Guía anual de primaria : curso 2015-2016,Junta de Personal Docente no Universitario de Cuenca,,1 mapa,"Consejería de Educación, Cultura y Deportes",Centros docentes -- Mapas,"Inserta: Comparativa censo durante la crisis del profesorado en general (primaria, secundaria, FP); profesorado total cupo; profesorado 0597 nota corte CGT; comisiones de servicio; centros rurales agrupados; centros escolares de Cuenca",col.
Guía anual de secundaria : curso 2015-2016,Junta de Personal Docente no Universitario de Cuenca,,1 mapa,"Consejería de Educación, Cultura y Deportes",Centros docentes -- Mapas,"Inserta: Comparativa censo durante la crisis del profesorado en general (primaria, secundaria, FP); profesorado total cupo; comisiones de servicio; centros de secundaria de Cuenca; desplazados en secundaria; suprimidos en secundaria; expectativas en secundaria; en prácticas en secundaria",col.
Guía de turismo en la naturaleza de Villanueva del Rosario,"Barranco Pérez, David",,17 mapas,Ayuntamiento de Villanueva del Rosario,Excursionismo -- Mapas,Inserta: Perfil altimétrico; ficha técnica; topoguía de coordenadas,col.
"Guia del ciclista urbà : seguretat, consells, normativa",Palma de Mallorca,,1 plano,Ajuntament de Palma,Desplazamientos en bicicleta -- Planos,Inserta: Plano de porcentajes de desnivel; plano de tiempos aproximados en bicicleta desde la plaza de Corç,col.
Guipuzcoako errepide mapa = Mapa de carreteras de Guipúzcoa,Guipúzcoa,Mapa de carreteras de Guipúzcoa,1 mapa,Gipuzkoako Foru Aldundia = Diputación Foral de Guipúzcoa,Carreteras -- Mapas,Al verso: Mapa de carreteras de alta capacidad; información general de la red; fotografías,col.
The Historic city,Gerona,,1 plano,Ajuntament de Girona,,"Incluye relación de alojamientos turísticos con su localización en el plano, información de oficinas de turismo y teléfonos de interés",col.
Die Historische stadt,Gerona,,1 plano,Ajuntament de Girona,,"Incluye relación de alojamientos turísticos con su localización en el plano, información de oficinas de turismo y teléfonos de interés",col.
Hospital y puente de Órbigo,Hospital de Órbigo,,1 plano,Ayuntamiento de Hospital de Órbigo,,"Incluye relación de edificios municipales, instalaciones deportivas, monumentos, parques, albergues de peregrinos, tiendas de alimentación, bares y restaurantes, alojamientos turísticos y transportes, con su localización en el plano",col.
Hoya de Campo Royo,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Hoya de Huesca,Comarca Hoya de Huesca,,1 mapa,Comarca Hoya de Huesca,,Inserta: Mapa de carreteras de la comarca; información de oficinas de turismo y centros de información a visitantes,col.
Huércal - Overa,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Huesca,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Ibilbide berdeen sarea : Araba = Red de itinerarios verdes : Álava,Álava,Red de itinerarios verdes,1 mapa,Arabako Aldundia = Diputación Foral de Álava,Senderismo -- Mapas,"Inserta: Relación de vías verdes, rutas y senderos señalados en el mapa",col.
Ibiza : Illes Balears,BC Maps,,8 planos en 1 h.,Consell d'Eivissa,,Incluye información sobre oficinas de información turística y transportes,"ambas caras, col."
Ibiza : mapa náutico = Eivissa : nautical map,Eivissa,Eivissa :,1 carta náutica,Consell Insular,,"Incluye información sobre la posidonia oceánica, zonas delimitadas de fondeo en boyas y fotografías",col.
Ibiza y Formentera,Balàfia Postals,,1 mapa,Balàfia Postals ;,,Inserta: Mapa de Formentera. - 25 x 28 cm,col.
The Ignatian Way,Sàpiens Publicacions,Le Chemin Ignacien,1 mapa,"Generalitat de Catalunya, Direcció General de Turisme",,Inserta: Siete etapas del Camino Ignaciano a su paso por Cataluña señaladas en el mapa; perfil altimétrico del recorrido,col.
The Ignatian way = Le Chemin de Saint Ignace,País Vasco,Le Chemin de Saint Ignace,1 mapa,Eusko Jaurlaritzaren Argitalpen Zerbitzu Nagusia = Servicio Central de Publicaciones del Gobierno Vasco,,"Inserta: Etapas recomendadas, con distancias kilométricas; mapa de localización en el País Vasco",col.
Illes balears,Agencia de Turismo de las Islas Baleares,,1 mapa,Agència de Turisme de le Illes Balears,,"Inserta: Relación de espacios protegidos, fincas públicas, reservas marinas, lugares de observación de aves, centros de información, albergues y santuarios, con su localización en el mapa; mapa de localización en Europa",col.
Illes Balears : famílies = familias = families = familien,Agencia de Turismo de las Islas Baleares,,1 mapa,Agència de Turisme de les Illes Balears,,Inserta: Pequeño mapa de conexiones marítimas entre islas y de localización en Europa,col.
Inaziotar bidea = Camino Ignaciano,País Vasco,Camino Ignaciano,1 mapa,Eusko Jaurlaritzaren Argitalpen Zerbitzu Nagusia = Servicio Central de Publicaciones del Gobierno Vasco,,"Inserta: Etapas recomendadas, con distancias kilométricas; mapa de localización en el País Vasco",col.
Inca,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
"Inventario nacional erosión suelos : 2014, Soria, Castilla y León",TRAGSATEC,,253 p.,"Ministerio de Agricultura, Alimentación y Medio Ambiente, Secretaría General Técnica",Suelos -- Mapas,,"principalmente mapas, col."
Iruña,"Cobo, Ana",,1 plano,Iruñeko Turismo Bulegoa,,Inserta: Mapa de accesos por carretera,col.
"Isla Livingston, Base Juan Carlos I",Instituto Hidrográfico de la Marina (España),,1 h.,"Ministerio de Defensa, Secretaria General Técnica",,Inserta: Diagrama de levantamientos y zonas de confianza; panorámica entre Punta Hespérides y Punta Polaca; niveles de mareas,col.
Islas Británicas,Instituto Hidrográfico de la Marina (España),,1 h.,"Ministerio de Defensa, Secretaria General Técnica",,,col.
Isona,Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Hidrogeología -- Mapas,"Incluye mapas de acuíferos, tabla de litología y permeabilidad",col.
Itinerarios : recorre el parque a pie,Cataluña,,1 mapa,"Generalitat de Catalunya, Departament de Territori i Sostenibilitat",Senderismo -- Mapas,Inserta: Pequeño mapa de localización del parque en la provincia,col.
Itineraris : travessa el parc a peu,Cataluña,,1 mapa,"Generalitat de Catalunya, Departament de Territori i Sostenibilitat",Senderismo -- Mapas,Inserta: Pequeño mapa de localización del parque en la provincia,col.
Jaén,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a la ciudad,col.
Jaén,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos por carretera,col.
Jaén,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Jane's Walk Sevilla : conversaciones en la ciudad 2014 : colección de paseos de la I edición,"Laguna, Antonio",,1 plano,Instituto de la Cultura y las Artes de Sevilla,,Inserta: Nombres y localización de las etapas de los paseos; número de paseantes; información sobre Jane Jacobs,col.
Jane's Walk Sevilla : conversaciones en la ciudad 2015 : colección de paseos de la II edición,"Laguna, Antonio",,1 plano,Instituto de la Cultura y las Artes de Sevilla,,Inserta: Nombres y localización de las etapas de los paseos; número de paseantes,col.
Jane's Walk Sevilla : conversaciones en la ciudad 2016 : colección de paseos de la III edición,"Laguna, Antonio",,1 plano,Instituto de la Cultura y las Artes de Sevilla,,Inserta: Nombres y localización de las etapas de los paseos; número de paseantes,col.
Jardín botánico : Centro de Investigación Forestal de Lourizán,Centro de Investigación Forestal de Lourizán,,1 mapa,"Centro de Investigación Forestal de Lourizán, Xunta de Galicia",Jardines botánicos -- Mapas,Inserta: Itinerario principal; información sobre las distintas colecciones de flora del parque que continúa al verso; fotografías,col.
Jerez,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a la ciudad,col.
Jerez,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y el Deporte de Andalucía,,Inserta: Mapa de accesos a la ciudad,col.
"Katalonien, ein Land zum genießen",Sàpiens Publicacions,,1 mapa,Sàpiens Publicacions,Enoturismo -- Mapas -- Vinos -- Mapas,Inserta: Pequeños mapas de localización de las denominaciones de origen Catalunya y Cava; clave de color de las denominaciones de origen de Cataluña; distancias kilométricas,col.
Kayaking routes = Kajakrouten : Menorca,Fundació Foment del Turisme de Menorca,Kajakrouten,1 mapa,Fundació Foment del Turisme de Menorca,Piragüismo -- Mapas,"Inserta: Lugares recomendados para realizar rutas en kayak de mar, con su localización en el mapa",col.
La Aldea del Obispo,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
La Almolda,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
La Bañeza,Copul Publicidad,,1 plano,Copul,Comercios -- Planos,Inserta: Información comercial,col.
"La Bisbal d'Empordà, Palafrugell",Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Hidrogeología -- Mapas -- Hidrogeología -- Mapas,"Incluye mapas de acuíferos, tabla de litología y permeabilidad",col.
